# Species Clustering Database for APOGEE V05
# Format: ClusterNum<TAB>SpeciesA<TAB>SpeciesB<TAB>ClusterName<TAB>Genus
# Total clusters: 489

44	Phytophthora cryptogea	Phytophthora erythroseptica	Phytophthora cryptogea cluster	Phytophthora
44	Phytophthora cryptogea	Phytophthora himalayensis	Phytophthora cryptogea cluster	Phytophthora
44	Phytophthora cryptogea	Phytophthora kelmanii	Phytophthora cryptogea cluster	Phytophthora
44	Phytophthora cryptogea	Phytophthora pseudocryptogea	Phytophthora cryptogea cluster	Phytophthora
44	Phytophthora erythroseptica	Phytophthora himalayensis	Phytophthora cryptogea cluster	Phytophthora
44	Phytophthora erythroseptica	Phytophthora kelmanii	Phytophthora cryptogea cluster	Phytophthora
44	Phytophthora erythroseptica	Phytophthora pseudocryptogea	Phytophthora cryptogea cluster	Phytophthora
44	Phytophthora himalayensis	Phytophthora kelmanii	Phytophthora cryptogea cluster	Phytophthora
44	Phytophthora himalayensis	Phytophthora pseudocryptogea	Phytophthora cryptogea cluster	Phytophthora
44	Phytophthora kelmanii	Phytophthora pseudocryptogea	Phytophthora cryptogea cluster	Phytophthora
45	Phytophthora fragariae	Phytophthora rubi	Phytophthora fragariae cluster	Phytophthora
45	Phytophthora fragariae	Phytophthora x heterohybrida	Phytophthora fragariae cluster	Phytophthora
45	Phytophthora fragariae	Phytophthora x incrassata	Phytophthora fragariae cluster	Phytophthora
45	Phytophthora fragariae	Phytophthora x multiformis	Phytophthora fragariae cluster	Phytophthora
45	Phytophthora rubi	Phytophthora x heterohybrida	Phytophthora fragariae cluster	Phytophthora
45	Phytophthora rubi	Phytophthora x incrassata	Phytophthora fragariae cluster	Phytophthora
45	Phytophthora rubi	Phytophthora x multiformis	Phytophthora fragariae cluster	Phytophthora
45	Phytophthora x heterohybrida	Phytophthora x incrassata	Phytophthora fragariae cluster	Phytophthora
45	Phytophthora x heterohybrida	Phytophthora x multiformis	Phytophthora fragariae cluster	Phytophthora
45	Phytophthora x incrassata	Phytophthora x multiformis	Phytophthora fragariae cluster	Phytophthora
46	Phytophthora fragariaefolia	Phytophthora nagaii	Phytophthora fragariaefolia cluster	Phytophthora
47	Phytophthora gallica	Phytophthora subarctica	Phytophthora gallica cluster	Phytophthora
48	Phytophthora gibbosa	Phytophthora gregata	Phytophthora gibbosa cluster	Phytophthora
49	Phytophthora ilicis	Phytophthora nemorosa	Phytophthora ilicis cluster	Phytophthora
49	Phytophthora ilicis	Phytophthora pseudosyringae	Phytophthora ilicis cluster	Phytophthora
49	Phytophthora ilicis	Phytophthora psychrophila	Phytophthora ilicis cluster	Phytophthora
49	Phytophthora nemorosa	Phytophthora pseudosyringae	Phytophthora ilicis cluster	Phytophthora
49	Phytophthora nemorosa	Phytophthora psychrophila	Phytophthora ilicis cluster	Phytophthora
49	Phytophthora pseudosyringae	Phytophthora psychrophila	Phytophthora ilicis cluster	Phytophthora
50	Phytophthora lactucae	Phytophthora pseudolactucae	Phytophthora lactucae cluster	Phytophthora
51	Phytophthora lacustris	Phytophthora riparia	Phytophthora lacustris cluster	Phytophthora
52	Phytophthora macrochlamydospora	Phytophthora richardiae	Phytophthora macrochlamydospora cluster	Phytophthora
53	Phytophthora melonis	Phytophthora sinensis	Phytophthora melonis cluster	Phytophthora
